step	agent_id	module_id	x	y	stress	is_isolated	active_event_ids
24	ISS03	common_area	45.24	46.91	70.3	false	
24	ISS04	common_area	50.49	51.99	39.8	false	
24	ISS05	common_area	51.58	47.15	59.7	false	
24	ISS06	cupola	47.88	27.44	40.6	false	
24	ISS07	cupola	52.57	27.95	56.4	false	
24	ISS08	common_area	49.23	48.1	63.9	false	
24	ISS09	common_area	48.83	53.04	51.0	false	
25	ISS00	common_area	49.14	48.15	46.9	false	
25	ISS01	crew_quarters	26.25	36.05	66.1	true	
25	ISS02	common_area	53.9	47.84	63.6	false	
25	ISS03	common_area	44.5	48.63	68.8	false	
25	ISS04	common_area	51.11	51.72	38.5	false	
25	ISS05	common_area	50.57	46.79	49.6	false	
25	ISS06	cupola	48.22	28.09	39.7	false	
25	ISS07	cupola	52.82	27.05	54.6	false	
25	ISS08	common_area	48.66	48.46	62.9	false	
25	ISS09	common_area	49.89	53.25	41.3	false	
26	ISS00	common_area	48.58	48.53	47.3	false	
26	ISS01	crew_quarters	26.78	36.13	61.6	true	
26	ISS02	common_area	52.99	46.68	52.3	false	
26	ISS03	common_area	44.35	50.49	61.1	false	
26	ISS04	common_area	51.61	51.26	46.4	false	
26	ISS05	common_area	49.49	46.79	64.8	false	
26	ISS06	cupola	48.75	28.6	54.4	false	
26	ISS07	cupola	52.76	26.11	48.6	false	
26	ISS08	common_area	48.23	48.98	66.2	false	
26	ISS09	common_area	50.95	53.11	50.3	false	
27	ISS00	common_area	48.18	49.07	60.0	false	CONF04
27	ISS01	crew_quarters	27.31	36.03	63.9	true	
27	ISS02	common_area	51.74	45.89	57.9	false	
27	ISS03	common_area	44.82	52.31	53.6	false	
27	ISS04	common_area	51.93	50.67	56.1	false	
27	ISS05	common_area	48.47	47.13	53.9	false	
27	ISS06	common_area	48.84	54.31	44.0	false	
27	ISS07	common_area	54.81	46.99	41.8	false	
27	ISS08	common_area	47.99	49.61	65.5	false	CONF04
27	ISS09	common_area	51.91	52.63	49.4	false	
28	ISS00	common_area	47.97	49.72	58.2	false	CONF04
28	ISS01	crew_quarters	27.77	35.76	48.9	false	
28	ISS02	common_area	50.31	45.55	61.4	false	
28	ISS03	common_area	45.85	53.87	49.0	false	
28	ISS04	common_area	52.05	50.0	43.9	false	
28	ISS05	common_area	47.62	47.78	59.7	false	
28	ISS06	common_area	50.31	54.45	47.5	false	
28	ISS07	common_area	53.57	45.59	38.2	false	
28	ISS08	common_area	47.97	50.28	51.4	false	CONF04
28	ISS09	common_area	52.67	51.87	30.2	false	
29	ISS00	common_area	47.99	50.39	47.8	false	REPB04
29	ISS01	crew_quarters	28.13	35.36	52.5	false	
29	ISS02	common_area	48.84	45.69	54.5	false	
29	ISS03	common_area	47.34	55.01	61.8	false	
29	ISS04	common_area	51.93	49.33	41.2	false	
29	ISS05	common_area	47.03	48.68	44.1	false	
29	ISS06	common_area	51.74	54.11	46.5	false	
29	ISS07	common_area	51.94	44.67	39.2	false	
29	ISS08	common_area	48.18	50.93	53.2	false	REPB04
29	ISS09	common_area	53.13	50.9	36.9	false	
30	ISS00	common_area	48.23	51.02	44.5	false	REPB04
30	ISS01	crew_quarters	28.34	34.87	51.6	false	
30	ISS02	common_area	47.5	46.3	55.7	false	
30	ISS03	common_area	49.11	55.6	52.6	false	
30	ISS04	common_area	51.61	48.74	32.7	false	
30	ISS05	common_area	46.76	49.72	52.1	false	
30	ISS06	common_area	52.99	53.32	35.3	false	
30	ISS07	common_area	50.1	44.33	37.7	false	
30	ISS08	common_area	48.58	51.47	61.9	false	REPB04
30	ISS09	common_area	53.25	49.83	48.7	false	
31	ISS00	common_area	48.66	51.54	44.1	false	
31	ISS01	crew_quarters	28.37	34.33	47.0	false	
31	ISS02	common_area	46.43	47.31	56.3	false	
31	ISS03	common_area	50.99	55.59	65.5	false	
31	ISS04	common_area	51.11	48.28	31.5	false	
31	ISS05	common_area	46.84	50.79	51.3	false	
31	ISS06	common_area	53.9	52.16	43.7	false	
31	ISS07	common_area	48.25	44.6	47.3	false	
31	ISS08	common_area	49.14	51.85	63.7	false	
31	ISS09	common_area	53.02	48.78	48.8	false	
32	ISS00	common_area	49.23	51.9	51.5	false	
32	ISS01	crew_quarters	28.23	33.81	64.1	true	
32	ISS02	common_area	45.75	48.62	69.4	false	
32	ISS03	common_area	52.75	54.96	72.1	false	
32	ISS04	common_area	50.49	48.01	46.7	false	
32	ISS05	common_area	47.27	51.77	49.2	false	
32	ISS06	common_area	54.4	50.78	41.4	false	
32	ISS07	common_area	46.59	45.47	51.1	false	
32	ISS08	common_area	49.79	52.03	59.6	false	
32	ISS09	common_area	52.46	47.86	46.0	false	
33	ISS00	common_area	49.89	52.04	56.4	false	
33	ISS01	crew_quarters	27.92	33.37	46.4	false	
33	ISS02	common_area	45.54	50.08	70.0	false	
33	ISS03	common_area	54.22	53.8	59.9	false	
33	ISS04	common_area	49.82	47.96	41.1	false	
33	ISS05	common_area	48.0	52.56	56.2	false	
33	ISS06	common_area	54.41	49.3	53.5	false	
33	ISS07	common_area	45.3	46.83	40.6	false	
33	ISS08	common_area	50.46	51.99	47.5	false	
33	ISS09	common_area	51.63	47.18	52.7	false	
34	ISS00	common_area	50.56	51.97	49.1	false	
34	ISS01	crew_quarters	27.49	33.05	58.2	true	
34	ISS02	common_area	45.81	51.53	57.2	false	
34	ISS03	common_area	55.22	52.22	58.1	false	
34	ISS04	common_area	49.17	48.13	48.1	false	
34	ISS05	common_area	48.94	53.08	46.6	false	
34	ISS06	common_area	53.94	47.9	58.9	false	CONF05
34	ISS07	common_area	44.52	48.53	48.0	false	
34	ISS08	common_area	51.08	51.74	63.0	false	CONF05
34	ISS09	common_area	50.62	46.8	45.3	false	
35	ISS00	common_area	51.17	51.68	50.1	false	
35	ISS01	crew_quarters	26.98	32.89	44.1	false	
35	ISS02	common_area	46.53	52.81	63.7	false	
35	ISS03	common_area	55.66	50.4	66.7	false	
35	ISS04	common_area	48.6	48.5	33.8	false	
35	ISS05	common_area	50.0	53.26	39.1	false	
35	ISS06	common_area	53.04	46.74	39.4	false	REPB05
35	ISS07	common_area	44.34	50.4	43.2	false	
35	ISS08	common_area	51.59	51.29	52.7	false	REPB05
35	ISS09	common_area	49.55	46.78	33.6	false	
36	ISS00	common_area	51.66	51.2	42.5	false	
36	ISS01	crew_quarters	26.44	32.9	50.3	false	
36	ISS02	common_area	47.63	53.79	48.7	false	
36	ISS03	common_area	55.48	48.53	59.6	false	
36	ISS04	common_area	48.19	49.04	34.3	false	
36	ISS05	common_area	51.06	53.08	52.9	false	
36	ISS06	common_area	51.82	45.92	32.0	false	REPB05
36	ISS07	common_area	44.78	52.22	44.7	false	
36	ISS08	common_area	51.92	50.7	43.3	false	REPB05
36	ISS09	common_area	48.52	47.1	37.6	false	
37	ISS00	common_area	51.96	50.6	52.9	false	
37	ISS01	crew_quarters	25.94	33.09	65.3	true	
37	ISS02	common_area	49.0	54.35	54.6	false	
37	ISS03	common_area	54.7	46.83	62.8	false	
37	ISS04	common_area	47.98	49.68	48.7	false	
37	ISS05	common_area	52.0	52.56	43.8	false	
37	ISS06	common_area	50.39	45.55	39.0	false	
37	ISS07	common_area	45.78	53.8	49.1	false	
37	ISS08	common_area	52.05	50.04	55.3	false	
37	ISS09	common_area	47.66	47.74	33.4	false	
38	ISS00	common_area	52.04	49.93	60.1	false	
38	ISS01	crew_quarters	25.52	33.43	56.3	false	
38	ISS02	common_area	50.47	54.44	64.6	false	
38	ISS03	common_area	53.41	45.47	68.2	false	
38	ISS04	common_area	47.99	50.36	38.4	false	
38	ISS05	common_area	52.73	51.77	61.1	false	
38	ISS06	common_area	48.92	45.67	44.5	false	
38	ISS07	common_area	47.25	54.96	45.5	false	
38	ISS08	common_area	51.95	49.37	49.0	false	
38	ISS09	common_area	47.05	48.62	39.7	false	
39	ISS00	common_area	51.91	49.27	49.7	false	
39	ISS01	crew_quarters	25.24	33.89	65.3	true	
39	ISS02	common_area	51.89	54.05	68.4	false	
39	ISS03	common_area	51.75	44.6	69.7	false	
39	ISS04	common_area	48.21	50.99	41.0	false	
39	ISS05	common_area	53.16	50.79	46.0	false	
39	ISS06	common_area	47.57	46.26	38.2	false	
